Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2024-02-23 17:18:01;2024-02-23T16:18:01.530000Z;SE0015961909;2024-02-23 17:18:01;2024-02-23T16:18:01.530000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000872983;121.450;6;;;
2024-02-23 17:17:52;2024-02-23T16:17:52.133000Z;SE0015961909;2024-02-23 17:17:52;2024-02-23T16:17:52.133000Z;SEK;DSTO;XSTO;MONE;false;32D---S--PH---;000872636;121.420;5455;;;Nordic@Mid trade
2024-02-23 17:17:33;2024-02-23T16:17:33.483000Z;SE0015961909;2024-02-23 17:17:33;2024-02-23T16:17:33.483000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000872060;121.400;4;;;
2024-02-23 17:16:23;2024-02-23T16:16:23.243000Z;SE0015961909;2024-02-23 17:16:23;2024-02-23T16:16:23.243000Z;SEK;XSTO;XSTO;MONE;false;12-------P----;000869855;121.400;268;;;
2024-02-23 17:16:13;2024-02-23T16:16:13.720000Z;SE0015961909;2024-02-23 17:16:13;2024-02-23T16:16:13.720000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869588;121.400;200;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.570000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.570000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869248;121.450;270;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869234;121.450;2634;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869233;121.450;405;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869232;121.450;803;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869231;121.450;1580;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869221;121.450;110;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869217;121.450;244;;;
2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SE0015961909;2024-02-23 17:16:07;2024-02-23T16:16:07.553000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000869216;121.450;796;;;
2024-02-23 17:15:35;2024-02-23T16:15:35.993000Z;SE0015961909;2024-02-23 17:15:35;2024-02-23T16:15:35.993000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000868158;121.400;695;;;
2024-02-23 17:15:35;2024-02-23T16:15:35.993000Z;SE0015961909;2024-02-23 17:15:35;2024-02-23T16:15:35.993000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000868157;121.400;5;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.850000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.850000Z;SEK;XSTO;XSTO;MONE;false;12-------P----;000867611;121.400;761;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.420000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.420000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867605;121.400;270;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867604;121.400;912;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867603;121.400;425;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867602;121.400;938;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867601;121.400;770;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867600;121.400;1015;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867599;121.400;579;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867598;121.400;897;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;XSTO;XSTO;MONE;false;12-------PH---;000867597;121.400;270;;;
2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SE0015961909;2024-02-23 17:15:20;2024-02-23T16:15:20.400000Z;SEK;DSTO;XSTO;MONE;false;32D---S--PH---;000867596;121.380;6039;;;Nordic@Mid trade
